strategy,n_H0,n_H1,n_detected_H1,P_D,P_pre_onset_alarm,P_FA,P_D_ci_low,P_D_ci_high,P_pre_onset_alarm_ci_low,P_pre_onset_alarm_ci_high,P_FA_ci_low,P_FA_ci_high,C_total_molecules_avg,C_total_molecules_avg_ci_low,C_total_molecules_avg_ci_high,C_H0_molecules_avg,C_H0_molecules_avg_ci_low,C_H0_molecules_avg_ci_high,C_H1_molecules_avg,C_H1_molecules_avg_ci_low,C_H1_molecules_avg_ci_high,R_H1_molecules_per_s,R_H1_molecules_per_s_ci_low,R_H1_molecules_per_s_ci_high,D_avg_after_onset,D_avg_after_onset_ci_low,D_avg_after_onset_ci_high,a1,a2,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
RR,150,150,45,0.3,0.0,0.10666666666666667,0.23240829378731656,0.3775798039599141,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,13228.333333333334,13056.267631831948,13400.39903483472,12752.666666666666,12591.953612562616,12913.379720770716,13704.0,13418.818456088598,13989.181543911402,61.03500485515302,58.04208321518348,64.02792649512256,206.84444444444443,191.6919272635613,221.99696162532757,0.03,0.012,0.84,0.02,0.01,0.75
TR,150,150,29,0.19333333333333333,0.0,0.06666666666666667,0.13811889170191843,0.2638628581771686,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12140.0,11981.710512520422,12298.289487479578,11654.0,11490.488627279221,11817.511372720779,12626.0,12377.718764860134,12874.281235139866,56.752194815777685,53.78172547857709,59.72266415297828,205.58620689655172,185.4281322346122,225.74428155849122,0.03,0.012,0.84,0.02,0.01,0.75
RR,150,150,111,0.74,0.0,0.10666666666666667,0.6644356718314847,0.8035786108718385,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,13074.333333333334,12844.596889973496,13304.069776693172,12752.666666666666,12591.953612562616,12913.379720770716,13396.0,12970.958975690723,13821.041024309277,70.42949398686248,68.69923342002527,72.1597545536997,182.78378378378378,173.9155244793344,191.65204308823314,0.06,0.024,0.84,0.02,0.01,0.75
TR,150,150,73,0.4866666666666667,0.0,0.06666666666666667,0.40801711922387535,0.5659820872926068,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12451.0,12238.164864177203,12663.835135822797,11654.0,11490.488627279221,11817.511372720779,13248.0,12898.266049152555,13597.733950847445,61.75427426541575,60.029658247810715,63.47889028302079,198.86301369863014,187.60333805630242,210.12268934095786,0.06,0.024,0.84,0.02,0.01,0.75
RR,150,150,149,0.9933333333333333,0.0,0.10666666666666667,0.9632071602251817,0.9988221986649826,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,12217.666666666666,12003.831160263815,12431.502173069517,12752.666666666666,12591.953612562616,12913.379720770716,11682.666666666666,11304.607282890895,12060.726050442438,85.5606475827994,83.54559054806799,87.57570461753082,140.73825503355704,134.25554386002486,147.22096620708922,0.1,0.04000000000000001,0.84,0.02,0.01,0.75
TR,150,150,140,0.9333333333333333,0.0,0.06666666666666667,0.8816376448839411,0.9633881433303926,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,11794.666666666666,11563.72366176194,12025.609671571392,11654.0,11490.488627279221,11817.511372720779,11935.333333333334,11503.710428704364,12366.956237962304,71.63605147634561,70.11894591928868,73.15315703340255,167.34285714285716,159.22397399073108,175.46174029498323,0.1,0.04000000000000001,0.84,0.02,0.01,0.75
RR,150,150,150,1.0,0.0,0.10666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,11644.333333333334,11442.508698060508,11846.15796860616,12752.666666666666,12591.953612562616,12913.379720770716,10536.0,10263.400629229554,10808.599370770446,110.52059685407706,107.9170430065965,113.12415070155761,98.04666666666667,94.15590303409174,101.9374302992416,0.15,0.06,0.84,0.02,0.01,0.75
TR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,10980.666666666666,10793.103671457204,11168.229661876128,11654.0,11490.488627279221,11817.511372720779,10307.333333333334,10005.54178076127,10609.124885905398,89.88929949882014,88.04393099552166,91.73466800211861,117.56,112.65224838960506,122.46775161039494,0.15,0.06,0.84,0.02,0.01,0.75
RR,150,150,150,1.0,0.0,0.10666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.06673036965207343,0.16624622258414684,11469.333333333334,11270.1510793416,11668.515587325068,12752.666666666666,12591.953612562616,12913.379720770716,10186.0,9965.826451342164,10406.173548657836,137.24824484137972,134.18495046444235,140.31153921831708,75.64,73.31411005568067,77.96588994431933,0.2,0.08000000000000002,0.84,0.02,0.01,0.75
TR,150,150,150,1.0,0.0,0.06666666666666667,0.9750297556319235,1.0,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,10586.666666666666,10399.215721974806,10774.117611358526,11654.0,11490.488627279221,11817.511372720779,9519.333333333334,9283.65075029572,9755.015916370949,110.84124330626432,108.53620635725514,113.1462802552735,87.78,84.56562751700827,90.99437248299174,0.2,0.08000000000000002,0.84,0.02,0.01,0.75
EIR,150,150,54,0.36,0.0,0.06666666666666667,0.28756583250443635,0.43942583591862505,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,12974.0,12777.759337288036,13170.240662711964,12412.0,12228.964324574279,12595.035675425721,13536.0,13212.317252091514,13859.682747908486,62.05926234595204,60.52816014974857,63.59036454215551,199.33333333333334,186.45678397210105,212.20988269456564,0.03,0.012,0.84,0.02,0.01,0.75
EIR,150,150,128,0.8533333333333334,0.0,0.06666666666666667,0.7879153994391072,0.9011056278741189,0.0,0.0249702443680766,0.03661185666960744,0.11836235511605896,13079.666666666666,12842.61684410171,13316.716489231621,12412.0,12228.964324574279,12595.035675425721,13747.333333333334,13336.192365323443,14158.474301343225,70.9229577177077,69.71410321289589,72.13181222251951,190.4765625,182.98404372738966,197.96908127261034,0.06,0.024,0.84,0.02,0.01,0.75
